subject,body,label
karthik rajan - interview schedule,"attached you will find the interview packet for the above - referenced person .
the interview will happen friday , march 30 , 2001 . please print all three
documents for your hard copies . if you have any questions , or conflicts of
schedule , please do not hesitate to contact me .
sasha divelbiss
58714",0
re : a 3 al ad hoc review team,"in the week of the 25 th . , the 26 th and 27 th are fine , with the 27 th being
the best .
thanks , john
- - - - - original message - - - - -
from : holden - baker , susan - tms - ditt 2 [ mailto : smholden @ bpa . gov ]
sent : wednesday , june 13 , 2001 9 : 14 am
to : ' ellingson , mons m ( z 34655 ) ' ; ' harshbarger , robert ' ; ' fotiou ,
demetrios ' ; ' grow , lisa ' ; ' smith , chris ' ; ' tilghman , carmine ' ;
' underwood , john ' ; ' williams , bill ' ; ' dempsey @ wapa . gov '
subject : re : a 3 al ad hoc review team
i added my available dates below - thanks mons !
- - - - - original message - - - - -
from : ellingson , mons m ( z 34655 ) [ mailto : mons . ellingson @ pinnaclewest . com ]
sent : wednesday , june 13 , 2001 6 : 32 am
to : ' harshbarger , robert ' ; ' fotiou , demetrios ' ; ' grow , lisa ' ; ' smith ,
chris ' ; ' tilghman , carmine ' ; ' underwood , john ' ; ' williams , bill ' ;
' dempsey @ wapa . gov ' ; ' holden - baker , susan '
subject : re : a 3 al ad hoc review team
- - - - - original message - - - - -
from : bill . williams . iii @ enron . com [ mailto : bill . williams . iii @ enron . com ]
sent : wednesday , june 13 , 2001 6 : 16 am
to : ellingson , mons m ( z 34655 )
subject : re : a 3 al ad hoc review team
mons ,
i would be available on the 25 th , 26 th or 27 th . i cannot make it the week
of the 18 th .
thanks ,
bill
- - - - - original message - - - - -
ok ,
so far it looks likes this . "" yes "" is a date you can meet , "" no "" you can ' t .
18 19 21 22 25 26 27
jerry no no no no no no yes
mons no yes no no yes yes yes
robert
dometrios
lisa
chris
carmine
john
bill no no no no yes yes yes
susan no yes yes yes yes yes yes
thanks !
mons
- - - - - original message - - - - -
from : harshbarger , robert [ mailto : bharsh @ puget . com ]
sent : tuesday , june 12 , 2001 5 : 56 pm
to : ellingson , mons m ( z 34655 ) ; ' fotiou , demetrios ' ; ' grow , lisa ' ;
' smith , chris ' ; ' tilghman , carmine ' ; ' underwood , john ' ; ' williams ,
bill ' ; ' dempsey @ wapa . gov ' ; ' holden - baker , susan '
cc : hackney , mark w ( z 39911 )
subject : re : a 3 al ad hoc review team
great suggestion . yes , a meeting is needed , especially for same day
timelines .
may i suggest the conference center meeting rooms at the portland airport ?
a fly - in , fly - out meeting 9 : 30 a . m . to 3 : 30 p . m .
if you have a better location or better idea , speak - up . otherwise , i ' ll
check on availability of a room . looks like we are down to the last two
weeks of this month - 18 , 19 , 21 , 22 , 25 , 26 , or 27 .
i ' ll try to send out a list of topics for an agenda tomorrow .
robert harshbarger
puget sound energy
oasis trading manager
425 . 882 . 4643 ( desk )
206 . 604 . 3251 ( cell )",0
not for sale in the u . a . e - usb voip handset w / built in audio adapter,"not for sale in the u . a . e
usb voip handset w / built in audio adapter
$ 25 . 00
enjoy
stereo music or make internet phone calls ! this multi - audio adapter
works as a sound a card as well as a voip device . simply plug into
an available usb port . the included handset makes it simple to make
an internet phone calls , and its slim and lightweight design makes
it easy to carry anywhere . order yours today from computron
!
visit : http : / / www . computron - me . com for deals !
your one stop / office # td
01 , jebel ali duty free zonedubai , uae . www . computron - me . com
for latest clearance sale listing contact our
sales department .
for further details please send
your enquiries to : dealers @ emirates . net . aeor contact via www . computron - me . com
compaq
hewlett packard
3 com
dell
intel
iomega
epson
aopen
creative
toshiba
apc
cisco
us
robotics
microsoft
canon
intellinet
targus
viewsonic
ibm
sony
- - - - - - - and lots more
! ! !
if you have any
complaints / suggestions contact : customerservice @ computron - me . com
tel + 971 4
8834464
all prices in u . s . dollars , ex - works ,
fax + 971 4
8834454
jebel ali duty free zone
www . computron - me . com
prices and availability subject to change
usa -
canada u . a . e .
without
notice .
to receive our special offers
in plain
text format reply to this
mail with the request * for
export only *
this
email can not be considered spam as long as we include : contact
information remove instructions . this message is intended for dealer
and resellers only . if you have somehow gotten on this list in error , or
for any other reason would like to be removed , please reply with "" remove
"" in the subject line of your message . this message is being sent to you
in compliance with the federal legislation for commercial e - mail
( h . r . 4176 - section 101 paragraph ( e ) ( 1 ) ( a ) and bill s . 1618 title iii
passed by the 105 th u . s . congress .
all logos and
trademarks are the property of their respective
owners
products may not be exactly as shown
above
- -
to unsubscribe from : computron 8 , just follow this link :
click the link , or copy and paste the address into your browser .",1
pharma,"stop wasting money on prescription drugs . get them online for 80 % off .
vlagra , clalis , xanax , vallum , xenlcal , and many many more . . .
stop paying more than you have too !
visit us here : http : / / www . prescriptionnetmed . com / a / ? refid = 12",1
california update - - 10 . 02 . 01 : puc turns down davis ' proposed rate,"agreement with dwr
in what will likely be viewed as a fairly shocking event , the california puc today voted down davis ' proposed rate agreement between dwr and the cpuc .
the vote was 4 - 1 , with the two republicans voting with davis ' hand - picked appointees lynch and wood .
davis ' proposal was introduced at the meeting by another davis appointee - - geoff brown - - who made a lengthy speech about why california would experience economic and political destruction if the puc did not approve davis ' proposed rate agreement .
what is davis ' proposed rate agreement between dwr and the cpuc ?
it would remove all puc authority to review any contracts between dwr with suppliers .
it would require the puc to pass through to utility rates all dwr power contract costs , no questions asked .
what are the implications of the move by the puc to reject davis ' proposal ?
with the vote , it remains unclear how california / dwr will pay for the dwr power contracts .
the political pressure to re - negotiate - - or break - - the dwr power contracts is likely to intensify considerably .
it remains unclear how california / dwr will pay for the $ 12 . 5 b in bonds the treasurer has unsuccessfully attempted to issue for past several months .
under the structure devised by davis , the revenues flowing from the cpuc / dwr rate agreement would be used to both 1 ) pay for the dwr power contracts and 2 ) service the bonds the treasurer is trying to issue to repay california ' s general fund for spot and other short term power purchased by dwr since january .
in short , there is no clear indication of how california will pay for dwr contracts or issue the bonds .
safe to say that today ' s puc vote has seriously embarrassed davis , and left his approach to "" solving "" california electricity crisis in shambles .
what next ?
a broad left - right coalition of energy interests supported a bill ( 18 xx ) that passed the legislature with broad bi - partisan support .
the bill would create a "" dedicated rate component "" on every customers bill to service the $ 12 . 5 b in bonds that the treasurer wants to issue .
proponents of the bill - - and just about everyone else - - argue that the "" dedicated rate component "" is a signficantly more efficient way to raise the debt california needs to plug the hole in its budget .
the bill is silent , however , on how california would pay for the dwr contracts , and the bill ' s opponents claim that the power suppliers will sue as a result .
all four puc commissioners who voted against the davis rate agreement today urged davis to sign the bill . the left - right coalition ( from nader types to oil companies ) is also working hard to get davis to sign it .
davis has said that he will veto the bill on the advice of the treasurer and bond counsel .
given today ' s vote , however , davis may have no alternative than to sign the bill if he wants to get the bonds issued and the state budget repaid .
update on edison bailout
still appears that chances are very small that edison and davis will succeed in getting the legislature to vote for an edison bailout when it returns for another "" special "" session next tuesday .
if you have any questions , just let us know .
best ,
jeff",0
ethylene margin collar model,"dear all :
let us meet early this afternoon .
here is the overview of the model :
1 ) the ethylene margin collars are priced using asian spread option .
the forward curve and volatility curve are provided by the desk .
the correlation between the ethylene and ethylene cost starts from the
historical spot correlation 50 % and grows with the maturity .
2 ) the overall 40 mm payout cap is modeled sepereately .
i fitted the historical spread ( 10 years data ) to a mean reverting model
with stronger mean reverting strength on the floor side . the model
produces
trajectories that are statistically simular to the historical data .
then the expected payoff is computed through simulation .
at the meeting we will discuss the assumptions and present the results .
zimin",0
start date : 1 / 26 / 02 ; hourahead hour : 8 ;,"start date : 1 / 26 / 02 ; hourahead hour : 8 ; no ancillary schedules awarded . no variances detected .
log messages :
parsing file - - > > o : \\ portland \\ westdesk \\ california scheduling \\ iso final schedules \\ 2002012608 . txt",0
"koch three rivers , # 6722","the outage is scheduled for 1 / 4 / 00 to 1 / 6 / 00 . it will not effect 1 / 1 / 00
throught 1 / 3 / 00 . there is no need for duke to hold gas back until 1 / 4 / 00 .
gary
- - - - - - - - - - - - - - - - - - - - - - forwarded by gary a hanks / hou / ect on 12 / 30 / 99 10 : 47 am
- - - - - - - - - - - - - - - - - - - - - - - - - - -
from : charlotte hawkins 12 / 30 / 99 09 : 07 am
to : pat clynes / corp / enron @ enron , lauri a allen / hou / ect @ ect , daren j
farmer / hou / ect @ ect , elsa villarreal / hou / ect @ ect , edward d gottlob / hou / ect @ ect
cc : aimee lannou / hou / ect @ ect , gary a hanks / hou / ect @ ect
subject : koch three rivers , # 6722
i spoke with larry zamit this morning regarding the outage january 1 through
6 . he agreed to hold the gas for us and batch it throughout the rest of
january . at this point we have 3 , 007 nominated for 1 / 1 / 00 and that is what
he has agreed to hold .
questions ? ? give me a call .
charlotte / aimee",0
power failure,"guys , what is the contingency plan to manage these outages in the event we
can ' t manage this as effectively in future situations ?
regards
delainey
- - - - - - - - - - - - - - - - - - - - - - forwarded by david w delainey / hou / ect on 06 / 29 / 2000
12 : 25 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
david w delainey
06 / 29 / 2000 12 : 25 pm
to : sally beck / hou / ect @ ect , philippe a bibi / hou / ect @ ect , beth
perlman / hou / ect @ ect
cc :
subject : power failure
guys , your teams did a great job managing a very difficult situation with
very few material effects to the organization . it is noticed and appreciated
please pass on to your organization if you feel appropriate .
regards
delainey",0
union carbide - seadrift,"daren
sitara # 415267 @ meter # 1332 - look like they ' ll be taking 10 , 000 / d at best
for the rest of the month - problems with their gas turbine , they are waiting
on ge to fix it which will take several weeks
lee",0
